iter	Passed	Remaining
883	20857	2736
884	20879	2713
885	20899	2689
886	20920	2665
887	20941	2641
888	20965	2617
889	20986	2593
890	21012	2570
891	21044	2547
892	21067	2524
893	21074	2498
894	21095	2474
895	21115	2450
896	21136	2426
897	21156	2403
898	21178	2379
899	21201	2355
900	21228	2332
901	21249	2308
902	21270	2284
903	21290	2260
904	21311	2237
905	21331	2213
906	21352	2189
907	21378	2166
908	21402	2142
909	21429	2119
910	21459	2096
911	21481	2072
912	21506	2049
913	21531	2025
914	21555	2002
915	21579	1978
916	21605	1955
917	21629	1932
918	21652	1908
919	21672	1884
920	21692	1860
921	21713	1836
922	21733	1813
923	21759	1789
924	21806	1768
925	21830	1744
926	21850	1720
927	21870	1696
928	21890	1673
929	21910	1649
930	21933	1625
931	21960	1602
932	21982	1578
933	22012	1555
934	22035	1531
935	22056	1508
936	22077	1484
937	22098	1460
938	22118	1436
939	22140	1413
940	22153	1389
941	22193	1366
942	22217	1342
943	22237	1319
944	22258	1295
945	22279	1271
946	22299	1248
947	22327	1224
948	22358	1201
949	22386	1178
950	22409	1154
951	22430	1130
952	22450	1107
953	22470	1083
954	22490	1059
955	22513	1036
956	22535	1012
957	22566	989
958	22590	965
959	22610	942
960	22631	918
961	22651	894
962	22672	871
963	22692	847
964	22719	824
965	22744	800
966	22770	777
967	22794	753
968	22815	729
969	22835	706
970	22856	682
971	22876	658
972	22903	635
973	22934	612
974	22958	588
975	22981	565
976	23001	541
977	23022	517
978	23043	494
979	23063	470
980	23085	447
981	23108	423
982	23138	400
983	23160	376
984	23182	353
985	23202	329
986	23222	305
987	23242	282
988	23270	258
989	23292	235
990	23321	211
991	23343	188
992	23364	164
993	23384	141
994	23405	117
995	23426	94
996	23453	70
997	23480	47
998	23508	23
999	23532	0
